cod|per|tipo|disc|creds|ch|reqs
1411311|1|obr|FUND DE MATEMATICA P/ C.DA COMPUTAÇAO I|4|60|
1411174|1|obr|INTRODUÇAO A COMPUTAÇAO|4|60|
1411180|1|obr|LABORATORIO DE PROGRAMAÇAO I|4|60|
1411167|1|obr|PROGRAMAÇAO I|4|60|
1109103|-|---|CALCULO DIFERENCIAL E INTEGRAL I|4|60|
1109126|2|obr|CALCULO DIFERENCIAL E INTEGRAL I|4|60|1411311
1411312|2|obr|FUND DE MATEMATICA P/ C.DA COMPUTAÇAO II|4|60|1411311
1411181|2|obr|LABORATORIO DE PROGRAMAÇAO II|4|60|1411167 1411180
1411168|2|obr|PROGRAMAÇAO II|4|60|1411167 1411180
1109049|3|obr|ALGEBRA LINEAR I|4|60|1411312
1109053|-|---|CALCULO DIFERENCIAL E INTEGRAL II|4|60|
1109131|3|obr|CALCULO DIFERENCIAL E INTEGRAL II|4|60|1109103:1109126
1411172|-|---|ESTRUTURAS DE DADOS E ALGORITMOS|4|60|
1411305|3|obr|ESTRUTURA DE DADOS|4|60|1411168 1411181
1411179|-|---|LAB.DE ESTRUTURAS DE DADOS E ALGORITMOS|4|60|
1411306|3|obr|LABORATORIO DE ESTRUTURA DE DADOS|4|60|1411168 1411181
1411307|3|obr|LOGICA PARA COMPUTAÇAO|4|60|1411312
1411304|3|obr|TEORIA DOS GRAFOS|4|60|
1411193|4|obr|BANCO DE DADOS I|4|60|1411305
1114129|4|obr|INTRODUCAO A PROBABILIDADE|4|60|1109103:1109126 1411312
1411182|4|obr|LAB.DE ORG.E ARQUITETURA DE COMPUTADORES|4|60|1411174
1411310|4|obr|ORGANIZAÇAO E ARQUIT. DE COMPUTADORES|4|60|1411174
1411169|-|---|PARADIGMAS DE LINGUAGEM DE PROGRAMAÇAO|4|60|
1411309|4|obr|PARADIGMAS DE LINGUAGEM DE PROGRAMAÇAO|4|60|1411167 1411180
1411308|4|obr|PROJETO DE SOFTWARE|4|60|1411167 1411180
1411313|5|obr|ANALISE DE SISTEMAS|4|60|1411167 1411180
1411314|5|obr|ENGENHARIA DE SOFTWARE|4|60|1411167 1411180
1411341|-|---|ESTATISTICA APLICADA|4|60|
1114222|5|obr|ESTATISTICA APLICADA|4|60|1114129
1411190|5|obr|REDES DE COMPUTADORES|4|60|1411174
1411192|5|obr|SISTEMAS OPERACIONAIS|4|60|1411310
1411171|5|obr|TEORIA DA COMPUTAÇAO|4|60|1411309
1411198|-|opE|ADM.DE SIST.GERENC.DE BANCO DE DADOS|4|60|1411193
1411320|-|opE|ADMINISTRAÇAO DE SISTEMAS|4|60|
1411321|-|opE|ALGORITMOS AVANCADOS I|4|60|
1411322|-|opE|ALGORITMOS AVANCADOS II|4|60|
1411323|-|opE|ALGORITMOS AVANCADOS III|4|60|
1411324|-|opE|ALGORITMOS AVANCADOS IV|4|60|
1411325|-|opE|ARQUITETURA DE SOFTWARE|4|60|1411308
1411197|-|opE|AVAL.DE DESEMPENHO DE SISTEMAS DISCRETOS|4|60|1114129
1411194|-|opE|BANCO DE DADOS Il|4|60|1411193
1302123|-|opE|COMPUTAÇAO E MUSICA|4|60|1411305
1411200|-|opE|COMPUTAÇAO GRAFICA|4|60|
1411327|-|opE|DES DE SOFTWARE INTEG A OPER DA INFRAEST|4|60|1411308
1411326|-|opE|DESENV. DE APLICACOES CORP. AVANCADAS|4|60|1411308
1411244|-|opE|TECC(ECONOMIA DE TECNOLOGIA DA INFORMAÇÃO)|4|60|
1411329|-|opE|EMPREENDEDORISMO EM SOFTWARE|4|60|
1411330|-|opE|GERENCIA DE REDES|4|60|1411190
1411316|6|obr|INTELIGENCIA ARTIFICIAL|4|60|1411171
